Meal,Insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
40,125.04,100,40,0,1.34733256168139,1.2458,0.010099904388,108.21059732,108.2116,0
0,25.04,100,39.1489361702128,0.851063829787234,1.34525987969358,1.24796026726982,0.0100998097894872,108.209617319196,108.211399464,1
0,25.04,100,38.3159800814848,1.66591217745586,1.34322949733817,1.25003047178947,0.0100999016742664,108.280231707825,108.211043035039,2
0,25.04,100,37.5007464627298,2.44570085626499,1.34124055135736,1.25201342977987,0.010100170332827,108.418494081413,108.224880769596,3
0,25.04,100,36.7028582401186,3.19155289044509,1.33929219611086,1.25391187917514,0.01010060640038,108.620604771098,108.26360343196,4
0,25.04,100,35.9219463626692,3.90455938724666,1.33738360321632,1.25572848166313,0.0101012008464819,108.882906178861,108.335003699787,5
0,25.04,100,35.1576496315486,4.58578038672373,1.33551396119718,1.2574658246749,0.0101019449649448,109.201878256872,108.444584195602,6
0,25.04,100,34.409614533005,5.23624568980511,1.33368247513762,1.25912642332431,0.010102830364023,109.574134125951,108.596043007856,7
0,25.04,100,33.677495074856,5.85695566519234,1.33188836634458,1.26071272229906,0.010103848956871,109.99641582832,108.791661231475,8
0,25.04,100,32.9609526264548,6.44888203561072,1.3301308720167,1.26222709770428,0.0101049929522647,110.465590210087,109.032612150844,9
0,25.04,100,32.2596557620621,7.01296864392655,1.32840924492001,1.26367185885987,0.0101062548455796,110.978644929056,109.319207762693,10
0,25.04,100,31.5732801075502,7.55013219963156,1.32672275307018,1.26504925005264,0.0101076274100182,111.532684583672,109.651095195965,11
0,25.04,100,30.9015081903683,8.06126300618302,1.32507067942138,1.2663614522445,0.0101091036880815,112.124926959083,110.027413073507,12
0,25.04,100,30.2440292927008,8.54722566967633,1.32345232156132,1.26761058473762,0.0101106769832776,112.752699386469,110.446915850622,13
0,25.04,100,29.6005393077498,9.00885978931515,1.32186699141269,1.2687987067977,0.0101123408520604,113.413435211939,110.908072557791,14
0,25.04,100,28.9707405990742,9.4469806301329,1.32031401494057,1.26992781923632,0.0101140890959942,114.104670371465,111.409145088621,15
0,25.04,100,28.3543418629237,9.86237977840825,1.31879273186583,1.27099986595343,0.0101159157541363,114.824040068452,111.94825014519,16
0,25.04,100,27.7510579934998,10.2558257802065,1.31730249538446,1.27201673544093,0.0101178150956332,115.569275550687,112.523408129842,17
0,25.04,100,27.1606099510849,10.628064763468,1.31584267189251,1.27298026224824,0.0101197816125245,116.338200983533,113.132581614011,18
0,25.04,100,26.5827246329767,10.9798210440556,1.31441264071671,1.27389222841088,0.0101218100127483,117.128730416359,113.773705487916,19
0,25.04,100,26.0171347471687,11.3117977161603,1.31301179385063,1.27475436484292,0.0101238952133446,117.938864839313,114.444710473604,20
0,25.04,100,25.4635786887183,11.6246772274584,1.3116395356961,1.27556835269415,0.0101260323338485,118.766689327659,115.143541346746,21
0,25.04,100,24.9218004187456,11.9191219394001,1.31029528281003,1.27633582467291,0.010128216689872,119.610370270993,115.868170942929,22
0,25.04,100,24.3915493460063,12.1957746730032,1.30897846365632,1.27705836633541,0.0101304437868658,120.468152684759,116.616610808542,23
0,25.04,100,23.8725802109849,12.4552592405139,1.3076885183629,1.27773751734223,0.0101327093140586,121.338357601595,117.386919183785,24
0,25.04,100,23.3646529724533,12.6981809632898,1.30642489848363,1.2783747726831,0.0101350091385686,122.219379540095,118.177206867347,25
0,25.04,100,22.8675326964437,12.9251271762508,1.30518706676516,1.27897158387035,0.0101373392996823,123.109684048687,118.985641401897,26
0,25.04,100,22.3809894475832,13.1366677192336,1.30397449691849,1.27952936010215,0.0101396960032968,124.007805322409,119.810449931255,27
0,25.04,100,21.904798182741,13.3333554155815,1.30278667339523,1.28004946939611,0.0101420756165202,124.912343890419,120.649921009485,28
0,25.04,100,21.438738646938,13.515726538287,1.30162309116836,1.28053323969397,0.0101444746624275,125.821964372171,121.502405585672,29
0,25.04,100,20.9825952714712,13.684301264003,1.30048325551755,1.2809819599381,0.0101468898149658,126.735393300254,122.366317342972,30
0,25.04,100,20.5361570742059,13.8395841152257,1.2993666818188,1.28139688112065,0.0101493178940075,127.651417007957,123.240132534428,31
0,25.04,100,20.0992175619887,13.9820643909487,1.29827289533838,1.28177921730571,0.010151755860544,128.568879579682,124.122389429134,32
0,25.04,100,19.6715746351379,14.1122165860772,1.29720143103104,1.28213014662556,0.0101542008120201,129.486680862404,125.011687459244,33
0,25.04,100,19.2530304939647,14.230500799887,1.29615183334222,1.28245081225121,0.010156649977802,130.403774536419,125.906686139876,34
0,25.04,100,18.8433915472846,14.3373631338035,1.29512365601439,1.28274232333825,0.0101591007147772,131.319166243683,126.806103819184,35
0,25.04,100,18.4424683228743,14.4332360787712,1.29411646189733,1.28300575594838,0.0101615505030824,132.231911772109,127.708716304084,36
0,25.04,100,18.0500753798344,14.5185388924755,1.29312982276226,1.28324215394729,0.0101639969419554,133.14111529423,128.613355397689,37
0,25.04,100,17.6660312228167,14.5936779666747,1.29216331911973,1.28345252987953,0.0101664377457086,134.045927658677,129.518907376997,38
