Meal_size,Steady_insulin,Bolus,D1,D2,I_sc,I_p,I_eff,G,G_sc,t
10,25.04,100,10,0,1.25595325616814,1.2458,0.0100999904388,108.211499732,108.2116,0
10,25.04,100,9.97872340425532,0.0212765957446809,1.25593247634796,1.2458216026727,0.0100999808877349,108.211399690793,108.21159799464,0.1
10,25.04,100,9.95749207786329,0.0424626527840652,1.25591173893557,1.24584311516988,0.0100999715322744,108.211478806237,108.211594028563,0.2
10,25.04,100,9.93630592450613,0.0635584600714678,1.25589104384443,1.24586453777364,0.0100999623714371,108.211736094449,108.211591724117,0.3
10,25.04,100,9.91516484807101,0.0845643057404777,1.25587039098818,1.24588587076528,0.0100999534042447,108.212170575195,108.211594611523,0.4
10,25.04,100,9.89406875264958,0.105480477107138,1.25584978028061,1.24590711442533,0.0100999446297225,108.212781271882,108.211606130797,0.5
10,25.04,100,9.87301754253756,0.126307260672122,1.2558292116357,1.24592826903353,0.0100999360468995,108.213567211546,108.211629633618,0.6
10,25.04,100,9.85201112223429,0.1470449421229,1.25580868496763,1.24594933486885,0.0100999276548077,108.214527424838,108.211668385177,0.7
10,25.04,100,9.8310493964423,0.167693806335903,1.25578820019071,1.24597031220949,0.0100999194524828,108.215660946017,108.21172556597,0.8
10,25.04,100,9.8101322700669,0.188254137378682,1.25576775721946,1.24599120133285,0.0100999114389638,108.216966812935,108.211804273571,0.9
10,25.04,100,9.78925964821569,0.208726218512062,1.25574735596856,1.24601200251559,0.0100999036132931,108.218444067029,108.211907524358,1
10,25.04,100,9.76843143619821,0.229110332192282,1.25572699635287,1.24603271603357,0.0100998959745166,108.220091753304,108.212038255212,1.1
10,25.04,100,9.74764753952545,0.249406760073146,1.25570667828741,1.24605334216191,0.0100998885216835,108.221908920331,108.212199325174,1.2
10,25.04,100,9.72690786390944,0.269615783008151,1.25568640168739,1.24607388117495,0.0100998812538463,108.223894620225,108.212393517077,1.3
10,25.04,100,9.70621231526282,0.289737681052621,1.25566616646819,1.24609433334625,0.010099874170061,108.226047908644,108.21262353914,1.4
10,25.04,100,9.68556079969843,0.309772733465835,1.25564597254536,1.24611469894864,0.0100998672693869,108.22836784477,108.21289202653,1.5
10,25.04,100,9.66495322352886,0.329721218713138,1.25562581983461,1.24613497825416,0.0100998605508865,108.230853491302,108.213201542895,1.6
10,25.04,100,9.64438949326603,0.349583414468065,1.25560570825184,1.24615517153412,0.0100998540136258,108.233503914445,108.213554581863,1.7
10,25.04,100,9.62386951562079,0.369359597614444,1.25558563771312,1.24617527905905,0.0100998476566742,108.236318183897,108.213953568514,1.8
10,25.04,100,9.60339319750244,0.3890500442485,1.25556560813468,1.24619530109874,0.0100998414791041,108.239295372839,108.214400860822,1.9
10,25.04,100,9.5829604460184,0.408655029680955,1.25554561943293,1.24621523792222,0.0100998354799915,108.242434557925,108.214898751062,2
10,25.04,100,9.56257116847368,0.42817482843912,1.25552567152446,1.24623508979778,0.0100998296584155,108.245734819269,108.2154494672,2.1
10,25.04,100,9.54222527237054,0.44760971426898,1.255505764326,1.24625485699294,0.0100998240134586,108.249195240436,108.216055174241,2.2
10,25.04,100,9.52192266540805,0.466959960137282,1.25548589775447,1.2462745397745,0.0100998185442065,108.25281490843,108.216717975565,2.3
10,25.04,100,9.50166325548165,0.486225838233602,1.25546607172697,1.2462941384085,0.0100998132497481,108.256592913684,108.217439914222,2.4
10,25.04,100,9.48144695068275,0.505407619972428,1.25544628616075,1.24631365316024,0.0100998081291758,108.260528350047,108.218222974211,2.5
10,25.04,100,9.46127365929832,0.524505575995216,1.25542654097323,1.24633308429428,0.0100998031815849,108.264620314778,108.219069081728,2.6
10,25.04,100,9.44114328981045,0.543519976172457,1.25540683608202,1.24635243207445,0.0100997984060741,108.26886790853,108.219980106389,2.7
10,25.04,100,9.42105575089596,0.562451089605729,1.25538717140487,1.24637169676383,0.0100997938017455,108.273270235341,108.220957862432,2.8
10,25.04,100,9.40101095142597,0.581299184629751,1.25536754685971,1.24639087862477,0.0100997893677041,108.277826402627,108.22200410989,2.9
10,25.04,100,9.38100880046549,0.600064528814424,1.25534796236465,1.24640997791888,0.0100997851030582,108.282535521163,108.223120555745,3
10,25.04,100,9.36104920727301,0.618747388966873,1.25532841783794,1.24642899490707,0.0100997810069193,108.287396705083,108.224308855053,3.1
10,25.04,100,9.34113208130009,0.637348031133482,1.25530891319803,1.24644792984947,0.0100997770784023,108.292409071861,108.225570612054,3.2
10,25.04,100,9.32125733219094,0.655866720601921,1.2552894483635,1.24646678300553,0.0100997733166249,108.297571742302,108.22690738125,3.3
10,25.04,100,9.30142486978202,0.674303721903174,1.25527002325312,1.24648555463395,0.0100997697207081,108.302883840537,108.228320668471,3.4
10,25.04,100,9.28163460410164,0.692659298813555,1.25525063778583,1.24650424499272,0.0100997662897763,108.308344494005,108.229811931912,3.5
10,25.04,100,9.26188644536951,0.710933714356721,1.25523129188071,1.24652285433909,0.0100997630229566,108.313952833448,108.231382583154,3.6
10,25.04,100,9.24218030399638,0.729127230805684,1.25521198545703,1.2465413829296,0.0100997599193796,108.319707992895,108.23303398816,3.7
10,25.04,100,9.22251609058362,0.747240109684814,1.25519271843422,1.24655983102009,0.0100997569781789,108.32560910966,108.234767468255,3.8
10,25.04,100,9.20289371592281,0.765272611771832,1.25517349073186,1.24657819886565,0.0100997541984912,108.331655324324,108.236584301083,3.9
10,25.04,100,9.18331309099531,0.783224997099813,1.25515430226971,1.24659648672068,0.0100997515794562,108.337845780725,108.238485721548,4
10,25.04,100,9.16377412697192,0.801097524959165,1.25513515296769,1.24661469483887,0.010099749120217,108.344179625955,108.240472922731,4.1
10,25.04,100,9.1442767352124,0.818890453899618,1.25511604274587,1.24663282347319,0.0100997468199195,108.350656010342,108.242547056796,4.2
